Milka Alpine Milk;100;530
Lindt Excellence;100;566
Tibi tejcsokoládé;90;497
Boci tejcsokoládé;90;495
Nestlé KitKat;42;207
Mars;51;228
Snickers;50;250
Twix;50;249
Toblerone;100;539
Cadbury Dairy Milk;100;534
Ferrero Rocher;38;230
Hershey's Milk Chocolate;43;220
Ritter Sport Marcipán;100;517
Merci Dark Mousse;100;556
Cote d'Or Noir;100;580
Ghirardelli Dark Chocolate;100;540
Kinder Bueno;43;243
After Eight;200;478
Godiva Dark Chocolate;100;600
Lindt Lindor Milk;100;625
Anthon Berg Marcipán;100;451
ChocoMe Dark Chocolate;100;540
Cavalier Stevia Milk Chocolate;85;365
Valrhona Guanaja;70;470
Green & Black's Organic Dark;100;570
Tony's Chocolonely Milk;180;993
Cadbury Twirl;43;230
Galaxy Smooth Milk;42;220
Milka Oreo;100;530
Leonidas Dark Chocolate;100;540
